Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	44	22	0.6666666666666666	0.04131455399061033	0.020657276995305163	0.061971830985915494
2004	47	21	0.6911764705882353	0.048304213771839674	0.02158273381294964	0.0698869475847893
2005	47	25	0.6527777777777778	0.04459203036053131	0.023719165085388995	0.0683111954459203
2006	47	25	0.6527777777777778	0.046351084812623275	0.02465483234714004	0.07100591715976332
2007	40	28	0.5882352941176471	0.038872691933916424	0.027210884353741496	0.06608357628765792
2008	55	34	0.6179775280898876	0.05293551491819057	0.032723772858517804	0.08565928777670838
2009	58	32	0.6444444444444445	0.055080721747388414	0.030389363722697058	0.08547008547008547
2010	54	25	0.6835443037974683	0.052478134110787174	0.024295432458697766	0.07677356656948493
2011	64	33	0.6597938144329897	0.0585544373284538	0.03019213174748399	0.08874656907593778
2012	73	31	0.7019230769230769	0.0632582322357019	0.026863084922010397	0.09012131715771231
