Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	2	0	1.0	0.0020554984583761563	0.0	0.0020554984583761563
2005	2	0	1.0	0.0018975332068311196	0.0	0.0018975332068311196
2006	6	3	0.6666666666666666	0.005917159763313609	0.0029585798816568047	0.008875739644970414
2007	3	0	1.0	0.0029154518950437317	0.0	0.0029154518950437317
2008	1	3	0.25	0.0009624639076034649	0.0028873917228103944	0.0038498556304138597
2009	2	0	1.0	0.001899335232668566	0.0	0.001899335232668566
2010	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
