Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	6	4	0.6	0.005633802816901409	0.003755868544600939	0.009389671361502348
2004	14	6	0.7	0.014388489208633094	0.006166495375128468	0.020554984583761562
2005	11	1	0.9166666666666666	0.010436432637571158	0.0009487666034155598	0.011385199240986717
2006	10	1	0.9090909090909091	0.009861932938856016	0.0009861932938856016	0.010848126232741617
2007	5	3	0.625	0.004859086491739553	0.0029154518950437317	0.007774538386783284
2008	7	4	0.6363636363636364	0.006737247353224254	0.0038498556304138597	0.010587102983638113
2009	9	2	0.8181818181818182	0.008547008547008548	0.001899335232668566	0.010446343779677113
2010	5	2	0.7142857142857143	0.004859086491739553	0.001943634596695821	0.006802721088435374
2011	12	5	0.7058823529411765	0.010978956999085087	0.004574565416285453	0.01555352241537054
2012	5	3	0.625	0.004332755632582322	0.0025996533795493936	0.006932409012131715
