Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	2	0.0	0.0	0.0018779342723004694	0.0018779342723004694
2004	3	1	0.75	0.003083247687564234	0.0010277492291880781	0.0041109969167523125
2005	2	1	0.6666666666666666	0.0018975332068311196	0.0009487666034155598	0.0028462998102466793
2006	4	2	0.6666666666666666	0.0039447731755424065	0.0019723865877712033	0.005917159763313609
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	1	1	0.5	0.0009624639076034649	0.0009624639076034649	0.0019249278152069298
2009	1	0	1.0	0.000949667616334283	0.0	0.000949667616334283
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
