Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	2	2	0.5	0.0019249278152069298	0.0019249278152069298	0.0038498556304138597
2009	1	1	0.5	0.000949667616334283	0.000949667616334283	0.001899335232668566
2010	1	1	0.5	0.0009718172983479105	0.0009718172983479105	0.001943634596695821
2011	0	0	0.5	0.0	0.0	0.0
2012	2	3	0.4	0.0017331022530329288	0.0025996533795493936	0.004332755632582322
