Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	1	0	1.0	0.0009624639076034649	0.0	0.0009624639076034649
2009	0	0	0.5	0.0	0.0	0.0
2010	3	1	0.75	0.0029154518950437317	0.0009718172983479105	0.003887269193391642
2011	1	0	1.0	0.0009149130832570906	0.0	0.0009149130832570906
2012	4	0	1.0	0.0034662045060658577	0.0	0.0034662045060658577
