Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	16	3	0.8421052631578947	0.015023474178403756	0.0028169014084507044	0.01784037558685446
2004	21	6	0.7777777777777778	0.02158273381294964	0.006166495375128468	0.02774922918807811
2005	12	10	0.5454545454545454	0.011385199240986717	0.009487666034155597	0.020872865275142316
2006	12	10	0.5454545454545454	0.011834319526627219	0.009861932938856016	0.021696252465483234
2007	10	5	0.6666666666666666	0.009718172983479106	0.004859086491739553	0.014577259475218658
2008	17	5	0.7727272727272727	0.016361886429258902	0.004812319538017324	0.021174205967276226
2009	8	4	0.6666666666666666	0.007597340930674264	0.003798670465337132	0.011396011396011397
2010	15	2	0.8823529411764706	0.014577259475218658	0.001943634596695821	0.01652089407191448
2011	29	7	0.8055555555555556	0.026532479414455627	0.006404391582799634	0.03293687099725526
2012	20	1	0.9523809523809523	0.01733102253032929	0.0008665511265164644	0.018197573656845753
