Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	3	8	0.2727272727272727	0.0028169014084507044	0.007511737089201878	0.010328638497652582
2004	4	10	0.2857142857142857	0.0041109969167523125	0.010277492291880781	0.014388489208633094
2005	5	13	0.2777777777777778	0.004743833017077799	0.012333965844402278	0.017077798861480076
2006	5	10	0.3333333333333333	0.004930966469428008	0.009861932938856016	0.014792899408284023
2007	3	7	0.3	0.0029154518950437317	0.006802721088435374	0.009718172983479106
2008	0	1	0.0	0.0	0.0009624639076034649	0.0009624639076034649
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
