Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	1	1	0.5	0.0010277492291880781	0.0010277492291880781	0.0020554984583761563
2005	0	1	0.0	0.0	0.0009487666034155598	0.0009487666034155598
2006	0	0	0.5	0.0	0.0	0.0
2007	3	0	1.0	0.0029154518950437317	0.0	0.0029154518950437317
2008	4	0	1.0	0.0038498556304138597	0.0	0.0038498556304138597
2009	2	1	0.6666666666666666	0.001899335232668566	0.000949667616334283	0.002849002849002849
2010	1	2	0.3333333333333333	0.0009718172983479105	0.001943634596695821	0.0029154518950437317
2011	4	1	0.8	0.0036596523330283625	0.0009149130832570906	0.004574565416285453
2012	4	4	0.5	0.0034662045060658577	0.0034662045060658577	0.006932409012131715
