Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	14	0	1.0	0.013145539906103286	0.0	0.013145539906103286
2004	14	0	1.0	0.014388489208633094	0.0	0.014388489208633094
2005	20	0	1.0	0.018975332068311195	0.0	0.018975332068311195
2006	14	0	1.0	0.013806706114398421	0.0	0.013806706114398421
2007	26	0	1.0	0.025267249757045675	0.0	0.025267249757045675
2008	17	0	1.0	0.016361886429258902	0.0	0.016361886429258902
2009	19	0	1.0	0.018043684710351376	0.0	0.018043684710351376
2010	10	0	1.0	0.009718172983479106	0.0	0.009718172983479106
2011	15	0	1.0	0.013723696248856358	0.0	0.013723696248856358
2012	16	0	1.0	0.01386481802426343	0.0	0.01386481802426343
