Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	16	6	0.7272727272727273	0.015023474178403756	0.005633802816901409	0.020657276995305163
2004	4	4	0.5	0.0041109969167523125	0.0041109969167523125	0.008221993833504625
2005	9	5	0.6428571428571429	0.008538899430740038	0.004743833017077799	0.013282732447817837
2006	4	6	0.4	0.0039447731755424065	0.005917159763313609	0.009861932938856016
2007	2	6	0.25	0.001943634596695821	0.0058309037900874635	0.007774538386783284
2008	9	8	0.5294117647058824	0.008662175168431183	0.007699711260827719	0.016361886429258902
2009	13	2	0.8666666666666667	0.012345679012345678	0.001899335232668566	0.014245014245014245
2010	9	4	0.6923076923076923	0.008746355685131196	0.003887269193391642	0.012633624878522837
2011	3	4	0.42857142857142855	0.0027447392497712718	0.0036596523330283625	0.006404391582799634
2012	5	5	0.5	0.004332755632582322	0.004332755632582322	0.008665511265164644
