Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	6	2	0.75	0.005633802816901409	0.0018779342723004694	0.007511737089201878
2004	3	5	0.375	0.003083247687564234	0.0051387461459403904	0.008221993833504625
2005	2	4	0.3333333333333333	0.0018975332068311196	0.003795066413662239	0.0056925996204933585
2006	2	1	0.6666666666666666	0.0019723865877712033	0.0009861932938856016	0.0029585798816568047
2007	3	1	0.75	0.0029154518950437317	0.0009718172983479105	0.003887269193391642
2008	2	2	0.5	0.0019249278152069298	0.0019249278152069298	0.0038498556304138597
2009	1	3	0.25	0.000949667616334283	0.002849002849002849	0.003798670465337132
2010	4	1	0.8	0.003887269193391642	0.0009718172983479105	0.004859086491739553
2011	3	1	0.75	0.0027447392497712718	0.0009149130832570906	0.0036596523330283625
2012	6	0	1.0	0.005199306759098787	0.0	0.005199306759098787
