Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	20	4	0.8333333333333334	0.05830903790087463	0.011661807580174927	0.06997084548104957
2004	22	3	0.88	0.06451612903225806	0.008797653958944282	0.07331378299120235
2005	26	5	0.8387096774193549	0.06896551724137931	0.013262599469496022	0.08222811671087533
2006	32	5	0.8648648648648649	0.08465608465608465	0.013227513227513227	0.09788359788359788
2007	34	9	0.7906976744186046	0.09289617486338798	0.02459016393442623	0.11748633879781421
2008	33	8	0.8048780487804879	0.08418367346938775	0.02040816326530612	0.10459183673469388
2009	30	1	0.967741935483871	0.07692307692307693	0.002564102564102564	0.07948717948717948
2010	39	4	0.9069767441860465	0.10955056179775281	0.011235955056179775	0.12078651685393259
2011	23	10	0.696969696969697	0.055288461538461536	0.02403846153846154	0.07932692307692307
2012	30	11	0.7317073170731707	0.06960556844547564	0.025522041763341066	0.0951276102088167
