Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	4	1	0.8	0.011661807580174927	0.0029154518950437317	0.014577259475218658
2004	14	0	1.0	0.04105571847507331	0.0	0.04105571847507331
2005	13	0	1.0	0.034482758620689655	0.0	0.034482758620689655
2006	13	0	1.0	0.03439153439153439	0.0	0.03439153439153439
2007	15	0	1.0	0.040983606557377046	0.0	0.040983606557377046
2008	16	0	1.0	0.04081632653061224	0.0	0.04081632653061224
2009	8	0	1.0	0.020512820512820513	0.0	0.020512820512820513
2010	8	0	1.0	0.02247191011235955	0.0	0.02247191011235955
2011	10	0	1.0	0.02403846153846154	0.0	0.02403846153846154
2012	16	0	1.0	0.037122969837587005	0.0	0.037122969837587005
