Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	1	0.0	0.0	0.0029154518950437317	0.0029154518950437317
2004	0	7	0.0	0.0	0.020527859237536656	0.020527859237536656
2005	0	3	0.0	0.0	0.007957559681697613	0.007957559681697613
2006	0	1	0.0	0.0	0.0026455026455026454	0.0026455026455026454
2007	0	3	0.0	0.0	0.00819672131147541	0.00819672131147541
2008	0	5	0.0	0.0	0.012755102040816327	0.012755102040816327
2009	0	6	0.0	0.0	0.015384615384615385	0.015384615384615385
2010	0	3	0.0	0.0	0.008426966292134831	0.008426966292134831
2011	0	8	0.0	0.0	0.019230769230769232	0.019230769230769232
2012	0	5	0.0	0.0	0.01160092807424594	0.01160092807424594
