Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	41	6	0.8723404255319149	0.119533527696793	0.01749271137026239	0.13702623906705538
2004	56	2	0.9655172413793104	0.16422287390029325	0.005865102639296188	0.17008797653958943
2005	67	4	0.9436619718309859	0.17771883289124668	0.010610079575596816	0.1883289124668435
2006	53	2	0.9636363636363636	0.1402116402116402	0.005291005291005291	0.1455026455026455
2007	38	3	0.926829268292683	0.10382513661202186	0.00819672131147541	0.11202185792349727
2008	54	3	0.9473684210526315	0.1377551020408163	0.007653061224489796	0.14540816326530612
2009	43	0	1.0	0.11025641025641025	0.0	0.11025641025641025
2010	30	3	0.9090909090909091	0.08426966292134831	0.008426966292134831	0.09269662921348315
2011	35	1	0.9722222222222222	0.08413461538461539	0.002403846153846154	0.08653846153846154
2012	42	0	1.0	0.09744779582366589	0.0	0.09744779582366589
