Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	4	0.0	0.0	0.011661807580174927	0.011661807580174927
2004	21	0	1.0	0.06158357771260997	0.0	0.06158357771260997
2005	0	1	0.0	0.0	0.002652519893899204	0.002652519893899204
2006	0	2	0.0	0.0	0.005291005291005291	0.005291005291005291
2007	29	0	1.0	0.07923497267759563	0.0	0.07923497267759563
2008	33	0	1.0	0.08418367346938775	0.0	0.08418367346938775
2009	0	2	0.0	0.0	0.005128205128205128	0.005128205128205128
2010	37	0	1.0	0.10393258426966293	0.0	0.10393258426966293
2011	44	1	0.9777777777777777	0.10576923076923077	0.002403846153846154	0.10817307692307693
2012	32	0	1.0	0.07424593967517401	0.0	0.07424593967517401
