Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	17	0	1.0	0.04956268221574344	0.0	0.04956268221574344
2004	0	2	0.0	0.0	0.005865102639296188	0.005865102639296188
2005	0	2	0.0	0.0	0.005305039787798408	0.005305039787798408
2006	0	3	0.0	0.0	0.007936507936507936	0.007936507936507936
2007	0	2	0.0	0.0	0.00546448087431694	0.00546448087431694
2008	0	2	0.0	0.0	0.00510204081632653	0.00510204081632653
2009	51	0	1.0	0.13076923076923078	0.0	0.13076923076923078
2010	0	1	0.0	0.0	0.0028089887640449437	0.0028089887640449437
2011	42	4	0.9130434782608695	0.10096153846153846	0.009615384615384616	0.11057692307692307
2012	45	1	0.9782608695652174	0.10440835266821345	0.002320185614849188	0.10672853828306264
