Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	71	10	0.8765432098765432	0.20699708454810495	0.029154518950437316	0.23615160349854228
2004	42	9	0.8235294117647058	0.12316715542521994	0.026392961876832845	0.1495601173020528
2005	33	9	0.7857142857142857	0.08753315649867374	0.023872679045092837	0.11140583554376658
2006	31	11	0.7380952380952381	0.082010582010582	0.0291005291005291	0.1111111111111111
2007	22	5	0.8148148148148148	0.060109289617486336	0.01366120218579235	0.07377049180327869
2008	18	7	0.72	0.04591836734693878	0.017857142857142856	0.06377551020408163
2009	23	13	0.6388888888888888	0.05897435897435897	0.03333333333333333	0.09230769230769231
2010	40	11	0.7843137254901961	0.11235955056179775	0.03089887640449438	0.14325842696629212
2011	30	14	0.6818181818181818	0.07211538461538461	0.03365384615384615	0.10576923076923077
2012	43	17	0.7166666666666667	0.09976798143851508	0.03944315545243619	0.13921113689095127
