Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	1	0.0	0.0	0.0029154518950437317	0.0029154518950437317
2004	0	2	0.0	0.0	0.005865102639296188	0.005865102639296188
2005	0	7	0.0	0.0	0.01856763925729443	0.01856763925729443
2006	0	4	0.0	0.0	0.010582010582010581	0.010582010582010581
2007	0	1	0.0	0.0	0.00273224043715847	0.00273224043715847
2008	0	5	0.0	0.0	0.012755102040816327	0.012755102040816327
2009	0	10	0.0	0.0	0.02564102564102564	0.02564102564102564
2010	0	3	0.0	0.0	0.008426966292134831	0.008426966292134831
2011	26	4	0.8666666666666667	0.0625	0.009615384615384616	0.07211538461538461
2012	22	4	0.8461538461538461	0.05104408352668213	0.009280742459396751	0.060324825986078884
