Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	2	0.0	0.0	0.005291005291005291	0.005291005291005291
2007	0	3	0.0	0.0	0.00819672131147541	0.00819672131147541
2008	0	3	0.0	0.0	0.007653061224489796	0.007653061224489796
2009	0	4	0.0	0.0	0.010256410256410256	0.010256410256410256
2010	0	7	0.0	0.0	0.019662921348314606	0.019662921348314606
2011	0	5	0.0	0.0	0.01201923076923077	0.01201923076923077
2012	0	3	0.0	0.0	0.0069605568445475635	0.0069605568445475635
