Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	87	0.0	0.0	0.2536443148688047	0.2536443148688047
2004	0	79	0.0	0.0	0.2316715542521994	0.2316715542521994
2005	0	75	0.0	0.0	0.1989389920424403	0.1989389920424403
2006	0	79	0.0	0.0	0.20899470899470898	0.20899470899470898
2007	0	88	0.0	0.0	0.24043715846994534	0.24043715846994534
2008	0	71	0.0	0.0	0.18112244897959184	0.18112244897959184
2009	0	78	0.0	0.0	0.2	0.2
2010	0	61	0.0	0.0	0.17134831460674158	0.17134831460674158
2011	0	62	0.0	0.0	0.14903846153846154	0.14903846153846154
2012	0	54	0.0	0.0	0.12529002320185614	0.12529002320185614
