Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	1	0.0	0.0	0.0029154518950437317	0.0029154518950437317
2004	0	2	0.0	0.0	0.005865102639296188	0.005865102639296188
2005	25	0	1.0	0.06631299734748011	0.0	0.06631299734748011
2006	31	0	1.0	0.082010582010582	0.0	0.082010582010582
2007	30	0	1.0	0.08196721311475409	0.0	0.08196721311475409
2008	0	1	0.0	0.0	0.002551020408163265	0.002551020408163265
2009	0	3	0.0	0.0	0.007692307692307693	0.007692307692307693
2010	0	2	0.0	0.0	0.0056179775280898875	0.0056179775280898875
2011	24	4	0.8571428571428571	0.057692307692307696	0.009615384615384616	0.0673076923076923
2012	34	1	0.9714285714285714	0.07888631090487239	0.002320185614849188	0.08120649651972157
