Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	2	0.0	0.0	0.0058309037900874635	0.0058309037900874635
2004	1	0	1.0	0.002932551319648094	0.0	0.002932551319648094
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.0026455026455026454	0.0	0.0026455026455026454
2007	0	0	0.5	0.0	0.0	0.0
2008	0	0	0.5	0.0	0.0	0.0
2009	0	0	0.5	0.0	0.0	0.0
2010	0	1	0.0	0.0	0.0028089887640449437	0.0028089887640449437
2011	0	0	0.5	0.0	0.0	0.0
2012	1	0	1.0	0.002320185614849188	0.0	0.002320185614849188
