Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	2	0.0	0.0	0.0058309037900874635	0.0058309037900874635
2004	0	2	0.0	0.0	0.005865102639296188	0.005865102639296188
2005	0	1	0.0	0.0	0.002652519893899204	0.002652519893899204
2006	0	0	0.5	0.0	0.0	0.0
2007	0	2	0.0	0.0	0.00546448087431694	0.00546448087431694
2008	0	3	0.0	0.0	0.007653061224489796	0.007653061224489796
2009	0	0	0.5	0.0	0.0	0.0
2010	0	2	0.0	0.0	0.0056179775280898875	0.0056179775280898875
2011	0	2	0.0	0.0	0.004807692307692308	0.004807692307692308
2012	0	1	0.0	0.0	0.002320185614849188	0.002320185614849188
