Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	0	0	0.5	0.0	0.0	0.0
2008	0	1	0.0	0.0	0.002551020408163265	0.002551020408163265
2009	0	9	0.0	0.0	0.023076923076923078	0.023076923076923078
2010	0	1	0.0	0.0	0.0028089887640449437	0.0028089887640449437
2011	0	13	0.0	0.0	0.03125	0.03125
2012	0	9	0.0	0.0	0.02088167053364269	0.02088167053364269
