Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	1	0.0	0.0	0.002652519893899204	0.002652519893899204
2006	0	0	0.5	0.0	0.0	0.0
2007	0	0	0.5	0.0	0.0	0.0
2008	0	3	0.0	0.0	0.007653061224489796	0.007653061224489796
2009	0	2	0.0	0.0	0.005128205128205128	0.005128205128205128
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	3	0.0	0.0	0.0069605568445475635	0.0069605568445475635
