Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	343	130	0.7251585623678647	1.0	0.37900874635568516	1.379008746355685
2004	343	130	0.7251585623678647	1.0058651026392962	0.3812316715542522	1.3870967741935485
2005	379	129	0.7460629921259843	1.0053050397877985	0.3421750663129973	1.3474801061007957
2006	381	134	0.7398058252427184	1.007936507936508	0.3544973544973545	1.3624338624338623
2007	367	139	0.7252964426877471	1.0027322404371584	0.3797814207650273	1.3825136612021858
2008	392	134	0.7452471482889734	1.0	0.34183673469387754	1.3418367346938775
2009	386	154	0.7148148148148148	0.9897435897435898	0.39487179487179486	1.3846153846153846
2010	354	145	0.7094188376753507	0.9943820224719101	0.40730337078651685	1.401685393258427
2011	414	161	0.72	0.9951923076923077	0.3870192307692308	1.3822115384615385
2012	431	136	0.7601410934744268	1.0	0.31554524361948955	1.3155452436194897
