Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	5	0.0	0.0	0.01466275659824047	0.01466275659824047
2005	0	1	0.0	0.0	0.002652519893899204	0.002652519893899204
2006	0	3	0.0	0.0	0.007936507936507936	0.007936507936507936
2007	0	2	0.0	0.0	0.00546448087431694	0.00546448087431694
2008	0	1	0.0	0.0	0.002551020408163265	0.002551020408163265
2009	0	3	0.0	0.0	0.007692307692307693	0.007692307692307693
2010	0	3	0.0	0.0	0.008426966292134831	0.008426966292134831
2011	0	2	0.0	0.0	0.004807692307692308	0.004807692307692308
2012	0	4	0.0	0.0	0.009280742459396751	0.009280742459396751
