Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	4	1	0.8	0.011661807580174927	0.0029154518950437317	0.014577259475218658
2004	1	0	1.0	0.002932551319648094	0.0	0.002932551319648094
2005	7	3	0.7	0.01856763925729443	0.007957559681697613	0.026525198938992044
2006	4	0	1.0	0.010582010582010581	0.0	0.010582010582010581
2007	12	1	0.9230769230769231	0.03278688524590164	0.00273224043715847	0.03551912568306011
2008	1	0	1.0	0.002551020408163265	0.0	0.002551020408163265
2009	6	0	1.0	0.015384615384615385	0.0	0.015384615384615385
2010	6	0	1.0	0.016853932584269662	0.0	0.016853932584269662
2011	3	0	1.0	0.007211538461538462	0.0	0.007211538461538462
2012	2	0	1.0	0.004640371229698376	0.0	0.004640371229698376
