Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	2	0.5	0.0058309037900874635	0.0058309037900874635	0.011661807580174927
2004	6	2	0.75	0.017595307917888565	0.005865102639296188	0.02346041055718475
2005	5	2	0.7142857142857143	0.013262599469496022	0.005305039787798408	0.01856763925729443
2006	6	1	0.8571428571428571	0.015873015873015872	0.0026455026455026454	0.018518518518518517
2007	8	3	0.7272727272727273	0.02185792349726776	0.00819672131147541	0.030054644808743168
2008	6	2	0.75	0.015306122448979591	0.00510204081632653	0.02040816326530612
2009	4	1	0.8	0.010256410256410256	0.002564102564102564	0.01282051282051282
2010	4	4	0.5	0.011235955056179775	0.011235955056179775	0.02247191011235955
2011	3	5	0.375	0.007211538461538462	0.01201923076923077	0.019230769230769232
2012	9	0	1.0	0.02088167053364269	0.0	0.02088167053364269
