Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	17	0	1.0	0.04956268221574344	0.0	0.04956268221574344
2004	38	0	1.0	0.11143695014662756	0.0	0.11143695014662756
2005	39	0	1.0	0.10344827586206896	0.0	0.10344827586206896
2006	56	0	1.0	0.14814814814814814	0.0	0.14814814814814814
2007	38	0	1.0	0.10382513661202186	0.0	0.10382513661202186
2008	54	0	1.0	0.1377551020408163	0.0	0.1377551020408163
2009	43	0	1.0	0.11025641025641025	0.0	0.11025641025641025
2010	38	0	1.0	0.10674157303370786	0.0	0.10674157303370786
2011	64	5	0.927536231884058	0.15384615384615385	0.01201923076923077	0.1658653846153846
2012	61	6	0.9104477611940298	0.14153132250580047	0.013921113689095127	0.1554524361948956
