Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	1	0.0	0.0	0.0029154518950437317	0.0029154518950437317
2004	0	1	0.0	0.0	0.002932551319648094	0.002932551319648094
2005	0	1	0.0	0.0	0.002652519893899204	0.002652519893899204
2006	0	1	0.0	0.0	0.0026455026455026454	0.0026455026455026454
2007	0	1	0.0	0.0	0.00273224043715847	0.00273224043715847
2008	0	7	0.0	0.0	0.017857142857142856	0.017857142857142856
2009	0	2	0.0	0.0	0.005128205128205128	0.005128205128205128
2010	0	4	0.0	0.0	0.011235955056179775	0.011235955056179775
2011	0	2	0.0	0.0	0.004807692307692308	0.004807692307692308
2012	0	1	0.0	0.0	0.002320185614849188	0.002320185614849188
