Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	58	0	1.0	0.16909620991253643	0.0	0.16909620991253643
2004	44	0	1.0	0.12903225806451613	0.0	0.12903225806451613
2005	43	0	1.0	0.11405835543766578	0.0	0.11405835543766578
2006	37	0	1.0	0.09788359788359788	0.0	0.09788359788359788
2007	36	0	1.0	0.09836065573770492	0.0	0.09836065573770492
2008	32	0	1.0	0.08163265306122448	0.0	0.08163265306122448
2009	53	0	1.0	0.1358974358974359	0.0	0.1358974358974359
2010	44	0	1.0	0.12359550561797752	0.0	0.12359550561797752
2011	45	0	1.0	0.10817307692307693	0.0	0.10817307692307693
2012	35	0	1.0	0.08120649651972157	0.0	0.08120649651972157
