Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	20	0	1.0	0.0546448087431694	0.0	0.0546448087431694
2008	23	0	1.0	0.058673469387755105	0.0	0.058673469387755105
2009	17	0	1.0	0.04358974358974359	0.0	0.04358974358974359
2010	16	0	1.0	0.0449438202247191	0.0	0.0449438202247191
2011	26	0	1.0	0.0625	0.0	0.0625
2012	27	0	1.0	0.06264501160092807	0.0	0.06264501160092807
