Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	22	0	1.0	0.0641399416909621	0.0	0.0641399416909621
2004	21	0	1.0	0.06158357771260997	0.0	0.06158357771260997
2005	29	0	1.0	0.07692307692307693	0.0	0.07692307692307693
2006	21	0	1.0	0.05555555555555555	0.0	0.05555555555555555
2007	19	0	1.0	0.05191256830601093	0.0	0.05191256830601093
2008	27	0	1.0	0.06887755102040816	0.0	0.06887755102040816
2009	28	0	1.0	0.07179487179487179	0.0	0.07179487179487179
2010	15	0	1.0	0.042134831460674156	0.0	0.042134831460674156
2011	22	0	1.0	0.052884615384615384	0.0	0.052884615384615384
2012	16	0	1.0	0.037122969837587005	0.0	0.037122969837587005
