Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	2	0.0	0.0	0.0058309037900874635	0.0058309037900874635
2004	0	3	0.0	0.0	0.008797653958944282	0.008797653958944282
2005	0	2	0.0	0.0	0.005305039787798408	0.005305039787798408
2006	0	6	0.0	0.0	0.015873015873015872	0.015873015873015872
2007	0	3	0.0	0.0	0.00819672131147541	0.00819672131147541
2008	0	2	0.0	0.0	0.00510204081632653	0.00510204081632653
2009	0	1	0.0	0.0	0.002564102564102564	0.002564102564102564
2010	0	4	0.0	0.0	0.011235955056179775	0.011235955056179775
2011	0	2	0.0	0.0	0.004807692307692308	0.004807692307692308
2012	0	1	0.0	0.0	0.002320185614849188	0.002320185614849188
