Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	2	0.0	0.0	0.0058309037900874635	0.0058309037900874635
2004	0	2	0.0	0.0	0.005865102639296188	0.005865102639296188
2005	0	2	0.0	0.0	0.005305039787798408	0.005305039787798408
2006	0	3	0.0	0.0	0.007936507936507936	0.007936507936507936
2007	0	3	0.0	0.0	0.00819672131147541	0.00819672131147541
2008	0	1	0.0	0.0	0.002551020408163265	0.002551020408163265
2009	0	3	0.0	0.0	0.007692307692307693	0.007692307692307693
2010	0	2	0.0	0.0	0.0056179775280898875	0.0056179775280898875
2011	0	4	0.0	0.0	0.009615384615384616	0.009615384615384616
2012	0	2	0.0	0.0	0.004640371229698376	0.004640371229698376
