Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	1	0.0	0.0	0.0029154518950437317	0.0029154518950437317
2004	0	1	0.0	0.0	0.002932551319648094	0.002932551319648094
2005	0	4	0.0	0.0	0.010610079575596816	0.010610079575596816
2006	0	5	0.0	0.0	0.013227513227513227	0.013227513227513227
2007	0	3	0.0	0.0	0.00819672131147541	0.00819672131147541
2008	0	1	0.0	0.0	0.002551020408163265	0.002551020408163265
2009	0	7	0.0	0.0	0.017948717948717947	0.017948717948717947
2010	0	4	0.0	0.0	0.011235955056179775	0.011235955056179775
2011	0	5	0.0	0.0	0.01201923076923077	0.01201923076923077
2012	0	1	0.0	0.0	0.002320185614849188	0.002320185614849188
