Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	2	0	1.0	0.007874015748031496	0.0	0.007874015748031496
2008	0	0	0.5	0.0	0.0	0.0
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	2	1	0.6666666666666666	0.006514657980456026	0.003257328990228013	0.009771986970684038
2011	4	0	1.0	0.011834319526627219	0.0	0.011834319526627219
2012	0	0	0.5	0.0	0.0	0.0
