Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.00411522633744856	0.0	0.00411522633744856
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	2	0	1.0	0.00796812749003984	0.0	0.00796812749003984
2007	5	0	1.0	0.01968503937007874	0.0	0.01968503937007874
2008	4	0	1.0	0.01486988847583643	0.0	0.01486988847583643
2009	3	0	1.0	0.009523809523809525	0.0	0.009523809523809525
2010	2	1	0.6666666666666666	0.006514657980456026	0.003257328990228013	0.009771986970684038
2011	7	1	0.875	0.020710059171597635	0.0029585798816568047	0.023668639053254437
2012	4	1	0.8	0.0106951871657754	0.00267379679144385	0.013368983957219251
