Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	9	1	0.9	0.037037037037037035	0.00411522633744856	0.0411522633744856
2004	8	0	1.0	0.0326530612244898	0.0	0.0326530612244898
2005	8	0	1.0	0.03347280334728033	0.0	0.03347280334728033
2006	4	2	0.6666666666666666	0.01593625498007968	0.00796812749003984	0.02390438247011952
2007	8	0	1.0	0.031496062992125984	0.0	0.031496062992125984
2008	11	0	1.0	0.040892193308550186	0.0	0.040892193308550186
2009	9	1	0.9	0.02857142857142857	0.0031746031746031746	0.031746031746031744
2010	16	1	0.9411764705882353	0.05211726384364821	0.003257328990228013	0.05537459283387622
2011	12	1	0.9230769230769231	0.03550295857988166	0.0029585798816568047	0.038461538461538464
2012	12	3	0.8	0.03208556149732621	0.008021390374331552	0.040106951871657755
