Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.00411522633744856	0.0	0.00411522633744856
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	0	0	0.5	0.0	0.0	0.0
2007	0	0	0.5	0.0	0.0	0.0
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	0	1	0.0	0.0	0.003257328990228013	0.003257328990228013
2011	1	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2012	0	2	0.0	0.0	0.0053475935828877	0.0053475935828877
