Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.00411522633744856	0.0	0.00411522633744856
2004	6	0	1.0	0.024489795918367346	0.0	0.024489795918367346
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	7	0	1.0	0.027888446215139442	0.0	0.027888446215139442
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	5	0	1.0	0.01858736059479554	0.0	0.01858736059479554
2009	4	0	1.0	0.012698412698412698	0.0	0.012698412698412698
2010	2	0	1.0	0.006514657980456026	0.0	0.006514657980456026
2011	2	0	1.0	0.005917159763313609	0.0	0.005917159763313609
2012	2	0	1.0	0.0053475935828877	0.0	0.0053475935828877
