Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	5	0	1.0	0.0205761316872428	0.0	0.0205761316872428
2004	5	0	1.0	0.02040816326530612	0.0	0.02040816326530612
2005	8	3	0.7272727272727273	0.03347280334728033	0.012552301255230125	0.04602510460251046
2006	12	2	0.8571428571428571	0.04780876494023904	0.00796812749003984	0.055776892430278883
2007	3	1	0.75	0.011811023622047244	0.003937007874015748	0.015748031496062992
2008	7	2	0.7777777777777778	0.026022304832713755	0.007434944237918215	0.03345724907063197
2009	13	1	0.9285714285714286	0.04126984126984127	0.0031746031746031746	0.044444444444444446
2010	4	1	0.8	0.013029315960912053	0.003257328990228013	0.016286644951140065
2011	9	1	0.9	0.026627218934911243	0.0029585798816568047	0.029585798816568046
2012	10	0	1.0	0.026737967914438502	0.0	0.026737967914438502
