Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	0	0	0.5	0.0	0.0	0.0
2008	0	0	0.5	0.0	0.0	0.0
2009	0	0	0.5	0.0	0.0	0.0
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	3	0	1.0	0.008875739644970414	0.0	0.008875739644970414
2012	1	0	1.0	0.00267379679144385	0.0	0.00267379679144385
