Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.00411522633744856	0.0	0.00411522633744856
2004	0	0	0.5	0.0	0.0	0.0
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	0	1	0.0	0.0	0.00398406374501992	0.00398406374501992
2007	0	0	0.5	0.0	0.0	0.0
2008	2	0	1.0	0.007434944237918215	0.0	0.007434944237918215
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
