Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	0	0	0.5	0.0	0.0	0.0
2008	2	0	1.0	0.007434944237918215	0.0	0.007434944237918215
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	2	0	1.0	0.005917159763313609	0.0	0.005917159763313609
2012	1	0	1.0	0.00267379679144385	0.0	0.00267379679144385
