Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	0	0	0.5	0.0	0.0	0.0
2008	2	0	1.0	0.007434944237918215	0.0	0.007434944237918215
2009	2	0	1.0	0.006349206349206349	0.0	0.006349206349206349
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	5	0	1.0	0.014792899408284023	0.0	0.014792899408284023
2012	1	0	1.0	0.00267379679144385	0.0	0.00267379679144385
