Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	5	0	1.0	0.0205761316872428	0.0	0.0205761316872428
2004	7	0	1.0	0.02857142857142857	0.0	0.02857142857142857
2005	7	0	1.0	0.029288702928870293	0.0	0.029288702928870293
2006	3	0	1.0	0.01195219123505976	0.0	0.01195219123505976
2007	4	0	1.0	0.015748031496062992	0.0	0.015748031496062992
2008	4	0	1.0	0.01486988847583643	0.0	0.01486988847583643
2009	9	0	1.0	0.02857142857142857	0.0	0.02857142857142857
2010	5	0	1.0	0.016286644951140065	0.0	0.016286644951140065
2011	7	0	1.0	0.020710059171597635	0.0	0.020710059171597635
2012	6	0	1.0	0.016042780748663103	0.0	0.016042780748663103
