Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.00411522633744856	0.0	0.00411522633744856
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	0	0	0.5	0.0	0.0	0.0
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	0	0	0.5	0.0	0.0	0.0
2012	4	0	1.0	0.0106951871657754	0.0	0.0106951871657754
