Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	4	0	1.0	0.01486988847583643	0.0	0.01486988847583643
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	0	0	0.5	0.0	0.0	0.0
2011	2	0	1.0	0.005917159763313609	0.0	0.005917159763313609
2012	1	0	1.0	0.00267379679144385	0.0	0.00267379679144385
