Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.00823045267489712	0.0	0.00823045267489712
2004	1	0	1.0	0.004081632653061225	0.0	0.004081632653061225
2005	5	0	1.0	0.02092050209205021	0.0	0.02092050209205021
2006	2	0	1.0	0.00796812749003984	0.0	0.00796812749003984
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	0	0	0.5	0.0	0.0	0.0
2012	2	0	1.0	0.0053475935828877	0.0	0.0053475935828877
