Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	10	1	0.9090909090909091	0.0411522633744856	0.00411522633744856	0.04526748971193416
2004	7	0	1.0	0.02857142857142857	0.0	0.02857142857142857
2005	4	0	1.0	0.016736401673640166	0.0	0.016736401673640166
2006	8	0	1.0	0.03187250996015936	0.0	0.03187250996015936
2007	2	0	1.0	0.007874015748031496	0.0	0.007874015748031496
2008	5	1	0.8333333333333334	0.01858736059479554	0.0037174721189591076	0.022304832713754646
2009	4	0	1.0	0.012698412698412698	0.0	0.012698412698412698
2010	7	0	1.0	0.02280130293159609	0.0	0.02280130293159609
2011	8	1	0.8888888888888888	0.023668639053254437	0.0029585798816568047	0.026627218934911243
2012	10	1	0.9090909090909091	0.026737967914438502	0.00267379679144385	0.029411764705882353
