Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	8	0	1.0	0.02973977695167286	0.0	0.02973977695167286
2009	11	0	1.0	0.03492063492063492	0.0	0.03492063492063492
2010	15	0	1.0	0.048859934853420196	0.0	0.048859934853420196
2011	17	0	1.0	0.05029585798816568	0.0	0.05029585798816568
2012	19	0	1.0	0.05080213903743316	0.0	0.05080213903743316
