Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	3	1	0.75	0.012345679012345678	0.00411522633744856	0.01646090534979424
2004	0	0	0.5	0.0	0.0	0.0
2005	0	1	0.0	0.0	0.0041841004184100415	0.0041841004184100415
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	0	1	0.0	0.0	0.003937007874015748	0.003937007874015748
2008	2	0	1.0	0.007434944237918215	0.0	0.007434944237918215
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
