Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	0	0	0.5	0.0	0.0	0.0
2008	0	0	0.5	0.0	0.0	0.0
2009	1	0	1.0	0.0031746031746031746	0.0	0.0031746031746031746
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	1	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2012	2	0	1.0	0.0053475935828877	0.0	0.0053475935828877
