Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.00823045267489712	0.0	0.00823045267489712
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	2	0	1.0	0.008368200836820083	0.0	0.008368200836820083
2006	6	0	1.0	0.02390438247011952	0.0	0.02390438247011952
2007	3	0	1.0	0.011811023622047244	0.0	0.011811023622047244
2008	3	0	1.0	0.011152416356877323	0.0	0.011152416356877323
2009	3	0	1.0	0.009523809523809525	0.0	0.009523809523809525
2010	4	0	1.0	0.013029315960912053	0.0	0.013029315960912053
2011	2	0	1.0	0.005917159763313609	0.0	0.005917159763313609
2012	2	1	0.6666666666666666	0.0053475935828877	0.00267379679144385	0.008021390374331552
