Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	29	2	0.9354838709677419	0.11934156378600823	0.00823045267489712	0.12757201646090535
2004	29	4	0.8787878787878788	0.11836734693877551	0.0163265306122449	0.1346938775510204
2005	18	0	1.0	0.07531380753138076	0.0	0.07531380753138076
2006	19	0	1.0	0.07569721115537849	0.0	0.07569721115537849
2007	24	1	0.96	0.09448818897637795	0.003937007874015748	0.0984251968503937
2008	19	0	1.0	0.07063197026022305	0.0	0.07063197026022305
2009	40	0	1.0	0.12698412698412698	0.0	0.12698412698412698
2010	26	0	1.0	0.08469055374592833	0.0	0.08469055374592833
2011	34	1	0.9714285714285714	0.10059171597633136	0.0029585798816568047	0.10355029585798817
2012	37	2	0.9487179487179487	0.09893048128342247	0.0053475935828877	0.10427807486631016
