Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	3	0	1.0	0.012345679012345678	0.0	0.012345679012345678
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	3	0	1.0	0.012552301255230125	0.0	0.012552301255230125
2006	5	0	1.0	0.0199203187250996	0.0	0.0199203187250996
2007	7	0	1.0	0.027559055118110236	0.0	0.027559055118110236
2008	6	0	1.0	0.022304832713754646	0.0	0.022304832713754646
2009	3	0	1.0	0.009523809523809525	0.0	0.009523809523809525
2010	10	0	1.0	0.03257328990228013	0.0	0.03257328990228013
2011	11	0	1.0	0.03254437869822485	0.0	0.03254437869822485
2012	6	0	1.0	0.016042780748663103	0.0	0.016042780748663103
