Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	0	0	0.5	0.0	0.0	0.0
2007	2	0	1.0	0.007874015748031496	0.0	0.007874015748031496
2008	2	0	1.0	0.007434944237918215	0.0	0.007434944237918215
2009	0	0	0.5	0.0	0.0	0.0
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	1	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2012	0	0	0.5	0.0	0.0	0.0
