Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.00823045267489712	0.0	0.00823045267489712
2004	5	0	1.0	0.02040816326530612	0.0	0.02040816326530612
2005	1	0	1.0	0.0041841004184100415	0.0	0.0041841004184100415
2006	4	0	1.0	0.01593625498007968	0.0	0.01593625498007968
2007	1	0	1.0	0.003937007874015748	0.0	0.003937007874015748
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	4	0	1.0	0.012698412698412698	0.0	0.012698412698412698
2010	1	0	1.0	0.003257328990228013	0.0	0.003257328990228013
2011	3	0	1.0	0.008875739644970414	0.0	0.008875739644970414
2012	2	0	1.0	0.0053475935828877	0.0	0.0053475935828877
