Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	3	0	1.0	0.012244897959183673	0.0	0.012244897959183673
2005	5	0	1.0	0.02092050209205021	0.0	0.02092050209205021
2006	2	0	1.0	0.00796812749003984	0.0	0.00796812749003984
2007	2	0	1.0	0.007874015748031496	0.0	0.007874015748031496
2008	2	0	1.0	0.007434944237918215	0.0	0.007434944237918215
2009	6	0	1.0	0.01904761904761905	0.0	0.01904761904761905
2010	4	0	1.0	0.013029315960912053	0.0	0.013029315960912053
2011	2	0	1.0	0.005917159763313609	0.0	0.005917159763313609
2012	4	0	1.0	0.0106951871657754	0.0	0.0106951871657754
