Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	1	0.0	0.0	0.00411522633744856	0.00411522633744856
2004	0	1	0.0	0.0	0.004081632653061225	0.004081632653061225
2005	0	0	0.5	0.0	0.0	0.0
2006	0	1	0.0	0.0	0.00398406374501992	0.00398406374501992
2007	12	2	0.8571428571428571	0.047244094488188976	0.007874015748031496	0.05511811023622047
2008	23	1	0.9583333333333334	0.08550185873605948	0.0037174721189591076	0.08921933085501858
2009	27	0	1.0	0.08571428571428572	0.0	0.08571428571428572
2010	22	0	1.0	0.07166123778501629	0.0	0.07166123778501629
2011	14	1	0.9333333333333333	0.04142011834319527	0.0029585798816568047	0.04437869822485207
2012	24	0	1.0	0.06417112299465241	0.0	0.06417112299465241
